tournament,source,team,team_slug,player_id,squad_number,position,first_name,last_name,full_name,shirt_name,birth_date,club,height_cm,head_coach,is_final_26,is_official_fifa,observation_only,betting_recommendation,affects_v4
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_04_mctominay_scott,4,MF,Scott Francis,MCTOMINAY,McTOMINAY Scott,MCTOMINAY,1996-12-08,SSC Napoli (ITA),193,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_05_hanley_grant,5,DF,Grant Campbell,HANLEY,HANLEY Grant,HANLEY,1991-11-20,Hibernian FC (SCO),188,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_06_tierney_kieran,6,DF,Kieran,TIERNEY,TIERNEY Kieran,TIERNEY,1997-06-05,Celtic FC (SCO),180,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_07_mcginn_john,7,MF,John,MCGINN,McGINN John,MCGINN,1994-10-18,Aston Villa FC (ENG),178,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_08_fletcher_tyler,8,MF,Tyler Robert,FLETCHER,FLETCHER Tyler,FLETCHER,2007-03-19,Manchester United FC (ENG),183,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_09_dykes_lyndon,9,FW,Lyndon John,DYKES,DYKES Lyndon,DYKES,1995-10-07,Charlton Athletic FC (ENG),188,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_10_adams_che,10,FW,Che Sac Everton Fred,ADAMS,ADAMS Che,ADAMS,1996-07-13,Torino FC (ITA),175,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_11_christie_ryan,11,MF,Ryan,CHRISTIE,CHRISTIE Ryan,CHRISTIE,1995-02-22,AFC Bournemouth (ENG),178,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_12_kelly_liam,12,GK,Liam Patrick,KELLY,KELLY Liam,KELLY,1996-01-23,Rangers FC (SCO),184,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_13_hendry_jack,13,DF,Jack William,HENDRY,HENDRY Jack,HENDRY,1995-05-07,Al Ettifaq FC (KSA),192,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_14_stewart_ross,14,FW,Ross Cameron,STEWART,STEWART Ross,STEWART,1996-07-11,Southampton FC (ENG),188,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_15_souttar_john,15,DF,John Francis,SOUTTAR,SOUTTAR John,SOUTTAR,1996-09-25,Rangers FC (SCO),186,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_16_hyam_dominic,16,DF,Dominic John,HYAM,HYAM Dominic,HYAM,1995-12-20,Wrexham AFC (WAL),188,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_17_gannon_doak_ben,17,FW,Ben Gannon,DOAK,GANNON-DOAK Ben,GANNON DOAK,2005-11-11,AFC Bournemouth (ENG),173,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_18_hirst_george,18,FW,George David Eric,HIRST,HIRST George,HIRST,1999-02-15,Ipswich Town FC (ENG),191,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_19_ferguson_lewis,19,MF,Lewis,FERGUSON,FERGUSON Lewis,FERGUSON,1999-08-24,Bologna FC (ITA),181,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_20_shankland_lawrence,20,FW,Lawrence,SHANKLAND,SHANKLAND Lawrence,SHANKLAND,1995-08-10,Heart Of Midlothian FC (SCO),185,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_21_gordon_craig,21,GK,Craig Sinclair,GORDON,GORDON Craig,GORDON,1982-12-31,Heart Of Midlothian FC (SCO),193,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_22_patterson_nathan,22,DF,Nathan Kenneth,PATTERSON,PATTERSON Nathan,PATTERSON,2001-10-16,Everton FC (ENG),183,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_23_mclean_kenny,23,MF,Kenneth,MCLEAN,McLEAN Kenny,MCLEAN,1992-01-08,Norwich City FC (ENG),183,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_24_ralston_anthony,24,DF,Anthony,RALSTON,RALSTON Anthony,RALSTON,1998-11-16,Celtic FC (SCO),178,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_25_curtis_findlay,25,FW,Findlay Kenneth,CURTIS,CURTIS Findlay,CURTIS,2006-06-09,Kilmarnock FC (SCO),180,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Scotland,scotland,wc2026_scotland_26_mckenna_scott,26,DF,Scott Fraser,MCKENNA,McKENNA Scott,MCKENNA,1996-11-12,GNK Dinamo Zagreb (CRO),189,CLARKE Steve,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_01_diouf_yehvann,1,GK,Yehvann Djibril Victor,DIOUF,DIOUF Yehvann,Y. DIOUF,1999-11-16,OGC Nice (FRA),188,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_02_sarr_mamadou,2,DF,Mamadou,SARR,SARR Mamadou,SARR,2005-08-29,Chelsea FC (ENG),194,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_03_koulibaly_kalidou,3,DF,Kalidou,KOULIBALY,KOULIBALY Kalidou,KOULIBALY,1991-06-20,Al Hilal SC (KSA),186,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_04_seck_abdoulaye,4,DF,Abdoulaye,SECK,SECK Abdoulaye,SECK,1992-06-04,Maccabi Haifa FC (ISR),192,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_05_gueye_idrissa_gana,5,MF,Idrissa Gana,GUEYE,GUEYE Idrissa Gana,GANA,1989-09-26,Everton FC (ENG),174,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_06_ciss_pathe,6,MF,Ismaila Pathe,CISS,CISS Pathe,P.I. CISS,1994-03-16,Rayo Vallecano (ESP),186,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_07_diao_assane,7,FW,Assane,DIAO,DIAO Assane,DIAO,2005-09-07,Como (ITA),185,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_08_camara_lamine,8,MF,Lamine,CAMARA,CAMARA Lamine,LAMINE,2004-01-01,AS Monaco (FRA),174,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_09_dieng_bamba,9,FW,Cheikh Ahmadou Bamba Mbacke,DIENG,DIENG Bamba,B. DIENG,2000-03-23,FC Lorient (FRA),178,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_10_mane_sadio,10,FW,Sadio,MANÉ,MANE Sadio,MANÉ,1992-04-10,Al Nassr FC (KSA),175,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_11_jackson_nicolas,11,FW,Nicolas,JACKSON,JACKSON Nicolas,JACKSON,2001-06-20,FC Bayern München (GER),187,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_12_ndiaye_cherif,12,FW,Pape Cherif,NDIAYE,NDIAYE Cherif,CHERIF,1996-01-23,Samsunspor (TUR),190,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_13_ndiaye_iliman,13,FW,Iliman Cheikh Baroy,NDIAYE,NDIAYE Iliman,NDIAYE,2000-03-06,Everton FC (ENG),180,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_14_jakobs_ismail,14,DF,Ismail Joshua,JAKOBS,JAKOBS Ismail,JAKOBS,1999-08-17,Galatasaray SK (TUR),184,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_15_diatta_krepin,15,DF,Krépin,DIATTA,DIATTA Krepin,KRÉPIN,1999-02-25,AS Monaco (FRA),173,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_16_mendy_edouard,16,GK,Edouard Osoque,MENDY,MENDY Edouard,MENDY,1992-03-01,Al Ahli FC (KSA),194,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_17_sarr_pape_matar,17,MF,Pape Matar,SARR,SARR Pape Matar,P.M. SARR,2002-09-14,Tottenham Hotspur FC (ENG),185,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_18_sarr_ismaila,18,FW,Ismaila,SARR,SARR Ismaila,SARR,1998-02-25,Crystal Palace FC (ENG),185,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_19_niakhate_moussa,19,DF,Moussa,NIAKHATÉ,NIAKHATE Moussa,NIAKHATE,1996-03-08,Olympique Lyonnais (FRA),190,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_20_mbaye_ibrahim,20,FW,Ibrahim,MBAYE,MBAYE Ibrahim,MBAYE,2008-01-24,Paris Saint-Germain (FRA),175,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_21_diarra_habib,21,MF,Mouhamadou Habib Mbacke,DIARRA,DIARRA Habib,H. DIARRA,2004-01-03,Sunderland AFC (ENG),178,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_22_ndiaye_bara_sapoko,22,MF,Bara Sapoko,NDIAYE,NDIAYE Bara Sapoko,BARA,2007-12-31,FC Bayern München (GER),180,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_23_diaw_mory,23,GK,Mory,DIAW,DIAW Mory,DIAW,1993-06-22,Le Havre AC (FRA),197,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_24_mendy_antoine,24,DF,Antoine Alpha,MENDY,MENDY Antoine,A. MENDY,2004-05-27,OGC Nice (FRA),187,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_25_diouf_el_hadji_malick,25,DF,El Hadji Malick,DIOUF,DIOUF El Hadji Malick,DIOUF,2004-12-29,West Ham United FC (ENG),177,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Senegal,senegal,wc2026_senegal_26_gueye_pape,26,MF,Pape Alassane,GUEYE,GUEYE Pape,GUEYE,1999-01-24,Villarreal CF (ESP),189,THIAW Pape,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_01_williams_ronwen,1,GK,Ronwen Hayden,WILLIAMS,WILLIAMS Ronwen,WILLIAMS,1992-01-21,Mamelodi Sundowns FC (RSA),184,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_02_matuludi_thabang,2,DF,Tholo Thabang,MATULUDI,MATULUDI Thabang,MATULUDI,1999-01-14,Polokwane City FC (RSA),189,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_03_ndamane_khulumani,3,DF,Khulumani,NDAMANE,NDAMANE Khulumani,NDAMANE,2004-02-05,Mamelodi Sundowns FC (RSA),183,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_04_mokoena_teboho,4,MF,Teboho,MOKOENA,MOKOENA Teboho,MOKOENA,1997-01-24,Mamelodi Sundowns FC (RSA),177,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_05_mbatha_thalente,5,MF,Thalente Wandile,MBATHA,MBATHA Thalente,MBATHA,2000-03-06,Orlando Pirates FC (RSA),179,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_06_modiba_aubrey,6,DF,Aubrey Maphosa,MODIBA,MODIBA Aubrey,MODIBA,1995-07-22,Mamelodi Sundowns FC (RSA),171,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_07_appollis_oswin,7,FW,Oswin Reagan,APPOLLIS,APPOLLIS Oswin,APPOLLIS,2001-08-25,Orlando Pirates FC (RSA),171,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_08_moremi_tshepang,8,FW,Tshepang,MOREMI,MOREMI Tshepang,MOREMI,2000-10-02,Orlando Pirates FC (RSA),169,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_09_foster_lyle,9,FW,Lyle Brent,FOSTER,FOSTER Lyle,FOSTER,2000-09-03,Burnley FC (ENG),185,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_10_mofokeng_relebohile,10,FW,Relebohile,MOFOKENG,MOFOKENG Relebohile,MOFOKENG,2004-10-23,Orlando Pirates FC (RSA),168,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_11_zwane_themba,11,MF,Themba,ZWANE,ZWANE Themba,ZWANE,1989-08-03,Mamelodi Sundowns FC (RSA),178,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_12_maseko_thapelo,12,FW,Thapelo,MASEKO,MASEKO Thapelo,MASEKO,2003-11-11,AEL Limassol (CYP),178,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_13_sithole_sphephelo,13,MF,Sphephelo S'miso,SITHOLE,SITHOLE Sphephelo,SITHOLE,1999-03-03,CD Tondela (POR),197,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_14_mbokazi_mbekezeli,14,DF,Mbekezeli Mfanu kile,MBOKAZI,MBOKAZI Mbekezeli,MBOKAZI,2005-09-19,Chicago Fire FC (USA),177,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_15_rayners_iqraam,15,FW,Iqraam,RAYNERS,RAYNERS Iqraam,RAYNERS,1995-12-19,Mamelodi Sundowns FC (RSA),174,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_16_chaine_sipho,16,GK,Sipho Justin,CHAINE,CHAINE Sipho,CHAINE,1996-12-14,Orlando Pirates FC (RSA),186,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_17_makgopa_evidence,17,FW,Sekotori Evidence,MAKGOPA,MAKGOPA Evidence,MAKGPA,2000-06-05,Orlando Pirates FC (RSA),183,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_18_kabini_samukelo,18,DF,Samukele Alucious,KABINI,KABINI Samukelo,KABINI,2004-03-15,Molde FK (NOR),179,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_19_sibisi_nkosinathi,19,DF,Nkosinathi Emmanuel,SIBISI,SIBISI Nkosinathi,SIBISI,1995-09-22,Orlando Pirates FC (RSA),172,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_20_mudau_khuliso,20,DF,Khuliso Johnson,MUDAU,MUDAU Khuliso,MUDAU,1995-04-26,Mamelodi Sundowns FC (RSA),179,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_21_okon_ime,21,DF,Ime Daniel,OKON,OKON Ime,OKON,2004-02-20,Hannover 96 (GER),187,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_22_goss_ricardo,22,GK,Stuart Ricardo,GOSS,GOSS Ricardo,GOSS,1994-04-02,Siwelele FC (RSA),181,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_23_adams_jayden,23,MF,Jayden Oswin,ADAMS,ADAMS Jayden,ADAMS,2001-05-05,Mamelodi Sundowns FC (RSA),177,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_24_makhanya_olwethu,24,DF,Olwethu Mpilwenhle,MAKHANYA,MAKHANYA Olwethu,MAKHANYA,2004-04-30,Philadelphia Union (USA),185,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_25_sebelebele_kamogelo,25,FW,Kamogelo Michael,SEBELEBELE,SEBELEBELE Kamogelo,SEBELEBELE,2002-07-21,Orlando Pirates FC (RSA),166,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,South Africa,south_africa,wc2026_south_africa_26_cross_bradley,26,DF,Bradley Paul,CROSS,CROSS Bradley,CROSS,2001-01-30,Kaizer Chiefs FC (RSA),175,BROOS Hugo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_01_raya_david,1,GK,David,RAYA MARTÍN,RAYA David,RAYA,1995-09-15,Arsenal FC (ENG),186,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_02_pubill_marc,2,DF,Marc,PUBILL PAGES,PUBILL Marc,MARC PUBILL,2003-06-20,Atlético De Madrid (ESP),191,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_03_grimaldo_alex,3,DF,Alejandro,GRIMALDO GARCÍA,GRIMALDO Alex,GRIMALDO,1995-09-20,Bayer Leverkusen (GER),171,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_04_garcia_eric,4,DF,Eric,GARCÍA MARTRET,GARCIA Eric,ERIC,2001-01-09,FC Barcelona (ESP),183,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_05_llorente_marcos,5,DF,Marcos,LLORENTE MORENO,LLORENTE Marcos,M. LLORENTE,1995-01-30,Atlético De Madrid (ESP),183,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_06_merino_mikel,6,MF,Mikel,MERINO ZAZÓN,MERINO Mikel,MERINO,1996-06-22,Arsenal FC (ENG),188,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_07_torres_ferran,7,FW,Ferran,TORRES GARCÍA,TORRES Ferran,FERRAN,2000-02-29,FC Barcelona (ESP),183,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_08_ruiz_fabian,8,MF,Fabian,RUIZ PEÑA,RUIZ Fabian,FABIÁN,1996-04-03,Paris Saint-Germain (FRA),188,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_09_gavi,9,MF,Pablo,PAEZ GAVIRA,GAVI,GAVI,2004-08-05,FC Barcelona (ESP),173,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_10_olmo_dani,10,FW,Daniel,OLMO CARVAJAL,OLMO Dani,OLMO,1998-05-07,FC Barcelona (ESP),179,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_11_pino_yeremy,11,FW,Yeremy Jesús,PINO SANTOS,PINO Yeremy,YEREMY,2002-10-20,Crystal Palace FC (ENG),174,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_12_porro_pedro,12,DF,Pedro Antonio,PORRO SAUCEDA,PORRO Pedro,PEDRO PORRO,1999-09-13,Tottenham Hotspur FC (ENG),173,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_13_garcia_joan,13,GK,Joan,GARCIA PONS,GARCIA Joan,JOAN GARCIA,2001-05-04,FC Barcelona (ESP),194,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_14_laporte_aymeric,14,DF,Aymeric,LAPORTE FEVRE,LAPORTE Aymeric,LAPORTE,1994-05-27,Athletic Club (ESP),191,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_15_baena_alex,15,MF,Alejandro,BAENA RODRÍGUEZ,BAENA Alex,ALEX B.,2001-07-20,Atlético De Madrid (ESP),172,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_16_rodri,16,MF,Rodrigo,HERNÁNDEZ CASCANTE,RODRI,RODRIGO,1996-06-22,Manchester City FC (ENG),190,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_17_williams_nico,17,FW,Nicholas,WILLIAMS ARTHUER,WILLIAMS Nico,WILLIAMS JR,2002-07-12,Athletic Club (ESP),181,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_18_zubimendi_martin,18,MF,Martin,ZUBIMENDI IBAÑEZ,ZUBIMENDI Martin,ZUBIMENDI,1999-02-02,Arsenal FC (ENG),181,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_19_yamal_lamine,19,FW,Lamine Yamal,NASRAOUI EBANA,YAMAL Lamine,LAMINE YAMAL,2007-07-13,FC Barcelona (ESP),183,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_20_pedri,20,MF,Pedro,GONZÁLEZ LÓPEZ,PEDRI,PEDRI,2002-11-25,FC Barcelona (ESP),174,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_21_oyarzabal_mikel,21,FW,Mikel,OYARZABAL UGARTE,OYARZABAL Mikel,OYARZABAL,1997-04-21,Real Sociedad (ESP),181,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_22_cubarsi_pau,22,DF,Pau,CUBARSI I PAREDES,CUBARSI Pau,CUBARSÍ,2007-01-22,FC Barcelona (ESP),183,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_23_simon_unai,23,GK,Unai,SIMÓN MENDIBIL,SIMON Unai,UNAI SIMÓN,1997-06-11,Athletic Club (ESP),190,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_24_cucurella_marc,24,DF,Marc,CUCURELLA SASETA,CUCURELLA Marc,CUCURELLA,1998-07-22,Chelsea FC (ENG),173,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_25_munoz_victor,25,FW,Victor,MUÑOZ VILLANUEVA,MUNOZ Victor,VICTOR M.V.,2003-07-13,CA Osasuna (ESP),173,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Spain,spain,wc2026_spain_26_iglesias_borja,26,FW,Borja,IGLESIAS QUINTÁS,IGLESIAS Borja,B. IGLESIAS,1993-01-17,RC Celta Vigo (ESP),187,DE LA FUENTE Luis,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Sweden,sweden,wc2026_sweden_01_widell_zetterstrom_jacob,1,GK,Jacob Mikael,WIDELL ZETTERSTRÖM,WIDELL ZETTERSTROM Jacob,ZETTERSTRÖM,1998-07-11,Derby County FC (ENG),197,POTTER Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Sweden,sweden,wc2026_sweden_02_lagerbielke_gustaf,2,DF,Gustaf Johan,LAGERBIELKE,LAGERBIELKE Gustaf,LAGERBIELKE,2000-04-10,SC Braga (POR),193,POTTER Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Sweden,sweden,wc2026_sweden_03_lindelof_victor,3,DF,Victor Jörgen,NILSSON LINDELÖF,LINDELOF Victor,LINDELÖF,1994-07-17,Aston Villa FC (ENG),187,POTTER Graham,True,True,True,False,False
